File ./data/msong-420/msong-420_query.fvecs loaded
Rows 1000 Cols 420
File ./data/msong-420/msong-420_groundtruth.ivecs loaded
Rows 1000 Cols 100
Loading IVF...
	Loading meta data...
FhtKacRotator is selected
Allocating memory for IVF...
Index loaded
nprobe	QPS	recall
5	3594.53	0.73545
10	3001.17	0.87209
20	2361.71	0.94658
30	1985.25	0.96606
40	1712.76	0.97416
50	1516.93	0.97791
60	1369.38	0.97986
70	1248.18	0.98109
80	1147.97	0.98192
90	1058.28	0.98244
100	982.748	0.98279
110	918.386	0.98302
120	861.155	0.98322
130	815.325	0.98329
140	771.916	0.98338
150	738.241	0.98348
160	705.922	0.98355
170	676.903	0.98361
180	669.286	0.98365
190	630.666	0.98368
200	607.454	0.9837
240	525.394	0.98379
280	455.68	0.98381
320	408.926	0.98383
360	371.699	0.98383
