File ./data/gist-960-euclidean/gist-960-euclidean_query.fvecs loaded
Rows 1000 Cols 960
File ./data/gist-960-euclidean/gist-960-euclidean_groundtruth.ivecs loaded
Rows 1000 Cols 100
Loading IVF...
	Loading meta data...
FhtKacRotator is selected
Allocating memory for IVF...
Index loaded
nprobe	QPS	recall
5	1769.16	0.3796
10	1476.4	0.52332
20	1177.13	0.67932
30	1003.42	0.76373
40	878.112	0.81853
50	788.453	0.85519
60	715.195	0.88218
70	658.807	0.90285
80	609.803	0.91909
90	567.839	0.9317
100	532.767	0.94225
110	500.848	0.95063
120	473.718	0.95731
130	435.723	0.96354
140	413.779	0.96847
150	408.977	0.97234
160	371.238	0.97524
170	355.571	0.97818
180	341.001	0.98068
190	345.741	0.9829
200	316.332	0.98475
240	275.036	0.98974
280	244.375	0.99299
320	219.476	0.99464
360	199.931	0.99587
400	183.571	0.99637
500	153.362	0.9971
