File ./data/gist-960-euclidean/gist-960-euclidean_query.fvecs loaded
Rows 1000 Cols 960
File ./data/gist-960-euclidean/gist-960-euclidean_groundtruth.ivecs loaded
Rows 1000 Cols 100
Loading IVF...
	Loading meta data...
FhtKacRotator is selected
Allocating memory for IVF...
Index loaded
nprobe	QPS	recall
5	1640.88	0.37959
10	1377.42	0.52331
20	1114.51	0.6792
30	953.876	0.76353
40	843.431	0.81824
50	760.41	0.85474
60	693.74	0.88159
70	639.924	0.90206
80	594.494	0.91813
90	555.958	0.93063
100	520.656	0.94102
110	491.032	0.94929
120	463.707	0.95579
130	425.745	0.96195
140	404.86	0.96668
150	405.567	0.97043
160	369.38	0.97323
170	353.474	0.97605
180	340.285	0.97847
190	343.802	0.98061
200	316.465	0.98235
240	279.882	0.98683
280	243.856	0.98969
320	218.59	0.99104
360	199.101	0.99203
400	183.553	0.99247
500	153.596	0.99309
600	132.597	0.99325
700	117.617	0.9933
800	105.966	0.9933
