File ./data/deep-image-96-angular/deep-image-96-angular_query.fvecs loaded
Rows 10000 Cols 96
File ./data/deep-image-96-angular/deep-image-96-angular_groundtruth.ivecs loaded
Rows 10000 Cols 100
Loading IVF...
	Loading meta data...
FhtKacRotator is selected
Allocating memory for IVF...
Index loaded
nprobe	QPS	recall
5	2646.92	0.576295
10	2310.43	0.712134
20	1940.99	0.82391
30	1712.12	0.874104
40	1553.07	0.902725
50	1431.05	0.921163
60	1330.67	0.933848
70	1245.08	0.943352
80	1171.82	0.95073
90	1112.53	0.956263
100	1058.64	0.960867
110	1008.59	0.964485
120	966.554	0.967566
130	927.21	0.9701
140	891.093	0.972272
150	858.513	0.974122
160	829.541	0.975662
170	801.73	0.976942
180	776.632	0.978147
190	752.435	0.979124
200	730.92	0.980035
240	657.969	0.982743
280	597.377	0.984663
320	548.522	0.985914
360	507.755	0.986849
400	473.061	0.987517
500	403.887	0.988616
600	353.245	0.989238
700	316.29	0.989629
800	285.538	0.989877
900	260.503	0.990017
1000	239.875	0.990134
1100	222.338	0.990217
1200	207.654	0.990279
1300	194.231	0.990328
1400	182.325	0.990365
1500	172.054	0.990393
2000	134.726	0.99047
2500	111.454	0.990502
3000	93.9695	0.990511
