File ./data/deep-image-96-angular/deep-image-96-angular_query.fvecs loaded
Rows 10000 Cols 96
File ./data/deep-image-96-angular/deep-image-96-angular_groundtruth.ivecs loaded
Rows 10000 Cols 100
Loading IVF...
	Loading meta data...
FhtKacRotator is selected
Allocating memory for IVF...
Index loaded
nprobe	QPS	recall
5	2543	0.57647
10	2210.42	0.712536
20	1849.47	0.824804
30	1633.65	0.875502
40	1488.87	0.904545
50	1374.21	0.923347
60	1282.35	0.93633
70	1205.88	0.946059
80	1140.92	0.953635
90	1082.48	0.959365
100	1031.29	0.964153
110	984.566	0.96796
120	942.408	0.971184
130	909.584	0.973856
140	872.563	0.976168
150	840.483	0.978128
160	813.877	0.979768
170	785.927	0.98115
180	763.223	0.982456
190	740.166	0.98352
200	720.573	0.984522
240	646.754	0.987482
280	586.005	0.989585
320	538.238	0.991014
360	499.13	0.992077
400	463.803	0.992853
500	395.772	0.994147
600	347.867	0.99491
700	310.458	0.995385
800	280.751	0.995685
900	256.115	0.995872
1000	236.078	0.996014
1100	219.464	0.996119
1200	204.856	0.996198
1300	192.722	0.996257
1400	181.419	0.9963
1500	171.244	0.996337
2000	134.028	0.996434
2500	109.974	0.99647
3000	93.7293	0.996484
3500	82.5914	0.996492
